subj,session,cycle,task,trial,item,wf,type,source,colour,encoding,bias,null,response,corr,rt,points,total
108,001,1,recog,15,BEYOND,HF,target,right,aqua,pleasantness,liberal,no,m,0,1.23964352568,-3,168
108,001,1,recog,16,RIGGING,LF,target,left,yellow,imageability,conservative,no,z,1,1.11996199015,1,169
108,001,1,recog,17,TOILED,LF,target,right,aqua,pleasantness,conservative,yes,m,0,1.51967764949,-1,168
108,001,1,recog,18,UPSTART,LF,target,left,yellow,imageability,liberal,no,z,1,0.90647406583,3,171
108,001,1,recog,19,SWEARS,LF,lure,-,-,-,liberal,no,m,1,1.07974882997,1,172
108,001,1,recog,20,JUNCTURE,LF,lure,-,-,-,liberal,no,m,1,1.25328755141,1,173
108,001,1,recog,21,THOUSAND,HF,target,right,aqua,pleasantness,conservative,no,z,1,0.826719736746,1,174
108,001,1,recog,22,AREAS,HF,lure,-,-,-,liberal,no,m,1,1.47979150307,1,175
108,001,1,recog,23,EVENING,HF,lure,-,-,-,liberal,no,z,0,1.39985643656,-1,174
108,001,1,recog,24,HAUNCHES,LF,target,right,aqua,pleasantness,liberal,yes,z,1,0.84010457108,3,177
108,001,1,recog,25,PUPPETS,LF,lure,-,-,-,conservative,no,m,1,1.1865510827,3,180
108,001,1,recog,26,HEMMED,LF,target,left,yellow,imageability,liberal,no,z,1,0.866465839161,3,183
108,001,1,recog,27,FILAMENTS,LF,target,right,aqua,pleasantness,conservative,no,z,1,1.10661235012,1,184
108,001,1,recog,28,BLOOD,HF,lure,-,-,-,liberal,no,m,1,0.946658997241,1,185
108,001,1,recog,29,NOSTRIL,LF,target,left,yellow,imageability,conservative,no,z,1,0.82672890193,1,186
108,001,1,recog,30,MOGUL,LF,lure,-,-,-,conservative,no,m,1,0.840097238934,3,189
108,001,1,recog,31,VOLITION,LF,target,right,aqua,pleasantness,liberal,no,z,1,1.26631494358,3,192
108,001,1,recog,32,UNDER,HF,lure,-,-,-,liberal,no,m,1,1.18658187772,1,193
108,001,1,recog,33,PUBLIC,HF,lure,-,-,-,liberal,no,m,1,0.813216854846,1,194
108,001,1,recog,34,HORDE,LF,target,right,aqua,pleasantness,conservative,no,z,1,1.26653710763,1,195
108,001,1,recog,35,ICEBOX,LF,target,right,aqua,pleasantness,liberal,no,z,1,1.77301835896,3,198
108,001,1,recog,36,TUSKS,LF,target,right,aqua,pleasantness,liberal,no,z,1,1.0266567536,3,201
108,001,1,recog,37,YELLOWED,LF,lure,-,-,-,conservative,no,m,1,1.55974526655,3,204
108,001,1,recog,38,GOBBLE,LF,target,left,yellow,imageability,conservative,no,z,1,0.759966037495,1,205
108,001,1,recog,39,PAPER,HF,lure,-,-,-,conservative,no,z,0,0.800093411553,-3,202
108,001,1,recog,40,EIGHT,HF,lure,-,-,-,conservative,no,z,0,1.0133034475,-3,199
108,001,1,recog,41,CLOSE,HF,lure,-,-,-,conservative,no,z,0,1.31984914841,-3,196
108,001,1,recog,42,RANGE,HF,lure,-,-,-,liberal,no,m,1,2.65258344533,1,197
108,001,1,recog,43,POUNDS,HF,lure,-,-,-,conservative,no,m,1,0.840071209812,3,200
108,001,1,recog,44,SMEARING,LF,target,right,aqua,pleasantness,liberal,no,z,1,0.880054873788,3,203
108,001,1,recog,45,SNUBBED,LF,lure,-,-,-,liberal,no,m,1,0.90667166719,1,204
108,001,1,recog,46,EARLIER,HF,lure,-,-,-,liberal,no,m,1,1.77305355327,1,205
108,001,1,recog,47,OUSTED,LF,lure,-,-,-,conservative,no,m,1,0.733168873277,3,208
108,001,1,recog,48,MEETING,HF,target,right,aqua,pleasantness,conservative,no,z,1,0.680144985875,1,209
108,001,1,recog,49,DORMS,LF,lure,-,-,-,conservative,no,z,0,1.19991538702,-3,206
108,001,1,recog,50,SLIGHTLY,HF,lure,-,-,-,liberal,no,z,0,1.19991318738,-1,205
